phrases,cluster_labels
shortness of breath,0
"took a very long bike ride, about three hours or and i got back, i was very light headed, i was short of breath",1
it was hard to catch my breath afterwards,3
maybe i did have a little chest pain but it eventually went away after about an hour,1
"no chest pain,",0
"no nausea or vomiting or abdominal pain,",0
no one else sick in your family,2
"migraines under control with Imitrex,",3
"reflux managed with Protonix,",3
cataract surgery about four and a half months ago,2
"slight wheeze, expiratory wheeze, bilaterally",0
trace lower extremity edema in your lower extremities,0
"normal chest x-ray,",0
"normal pulmonary function tests,",0
all labs look quite good,3
may have had an asthma exacerbation from exercising and with the allergies,2
"prescribe albuterol inhaler, two puffs every four hours as needed for wheezing or for shortness of breath",3
order a pulmonary referral,0
see you in a couple weeks,2
"if you have this shortness of breath again, i want you to call me away",1
