phrases,cluster_labels
itchy scalp pain,0
it's been a while but probably worsening in the past six months,1
still quite itchy,1
white dander on your clothes,1
demarcated scaly erythematous plaques,0
on my body no not really,1
nothing new I do dye my hair but I've been doing that for years,3
Head & Shoulders,0
Denies fever or weight loss,0
no joint pain,0
maybe my sister... she does report just having a dry scalp,3
"BP 130/68, HR 98, RR 18, Temperature 97.7",0
demarcated scaly erythematous plaques... diffusely present across the back of the skull,2
scalp psoriasis,0
clobetasol 0.05% solution twice daily,0
continue using T/Gel shampoo,0
steroids for flare-ups,0
follow-up in 3 months or sooner if worsens,0
I'll just use that steroid solution and just as needed if it's really bad,3
