phrases,cluster_labels
I'm always coughing and wheezing,0
I end up waking up needing to use my inhaler a couple of times a week.,1
"When I get sick with a cold, I almost always know that my asthma is going to flare",1
my aunt's cat triggered a flare.,0
It happens every month or every other month for the past six months.,2
I’ve had several urgent care visits this past year and once ended up in the emergency department.,1
"I only use the blue inhaler (Ventolin), taking two puffs daily, and the other inhaler doesn’t work for me.",1
Diminished lung sounds throughout with occasional slight expiratory wheezes bilaterally.,0
Consistent with asthma.,3
Moderate intermittent asthma.,3
"Flovent 110 mcg, one puff twice daily, and continue Ventolin 2 puffs every 4–6 hours as needed.",0
Developing an asthma action plan to address triggers like cats and manage symptoms.,3
Reevaluation in one month or sooner if symptoms worsen.,0
Occasional exposure to smoking in bars irritates my breathing.,0
No history of seasonal allergies.,0
"I’ve never smoked, vape, or used marijuana.",1
Understands and agrees with the treatment plan.,2
