phrases,cluster_labels
Left shoulder pain for the last three weeks and it's not getting better.,1
I’ve been doing a lot of work in my basement and I even put in a new ceiling.,2
"I can’t recall falling on it, injuring it, or getting hit.",2
It’s pretty much all the time anytime I put any pressure on it when I’m trying to sleep it hurts even more.,2
Tylenol usually works for me and it does take the edge off but I still have pain.,1
I iced it initially but I haven’t iced it at all recently.,2
No numbness or tingling in my arm or fingers.,3
Limited active and passive range of motion with tenderness at the greater tuberosity of the humerus.,0
"X-ray of the shoulder was normal, no fractures or bony abnormalities.",1
Assessment: likely rotator cuff tendinopathy.,0
Ordering an MRI of the left shoulder to evaluate further.,0
Referring to physical therapy for 6 to 8 weeks to strengthen the shoulder muscles.,0
Continue Tylenol for pain; consider a steroid injection if symptoms don’t improve.,3
Patient is very active and asks if the pain will go away with treatment.,1
"Physical therapy should alleviate pain and allow return to activities like renovating, jogging, and lifting weights.",0
