phrases,cluster_labels
back pain on my side lasting about a week,0
blood in my urine,0
pain moved down to lower side,3
constant pain,3
no pain during urination,3
nausea without vomiting,3
father has history of kidney stones,0
first occurrence of kidney stones,1
0.5 cm kidney stone in proximal ureter,1
no hydronephrosis,0
prescribed ibuprofen 800 mg for pain,3
provided urine strainer to monitor stone passage,1
"ordered BMP, urinalysis, urine culture",0
follow-up in 1-2 weeks; lithotripsy if persistent symptoms,2
