soap_category,main_cluster,subcluster,phrase
P,2,2,"I've been doing well with my herniated disc in my back, no back pain or limitations in movement."
P,2,0,Back to work with full range of motion and no issues since carpal tunnel release.
O,1,2,"Over the last month, I’ve been having a bit of chest pain, but I haven’t had any of the other symptoms you mentioned."
O,1,0,It’s a burn... feels it’s burning... located in the middle... about three times a week.
S,0,2,It does [happen when walking]... it does [go away with rest]... no [at rest].
P,2,1,No numbing and tingling in your hands? [Patient] no.
P,2,1,"No lower extremity edema, or muscle aches, or fever chills?"
S,0,0,"No, nothing..."
O,1,1,"I’ve had a little bit of congestion, just from allergies, because of the pollen."
A,3,2,Slight three out of six systolic ejection murmur... lungs are nice and clear... no carotid bruits... no lower extremity edema... healed surgical scars on your wrist.
A,3,0,Echocardiogram from last year... slightly low pumping function of your heart at 45%... mitral regurgitation.
S,0,1,ECG prior coronary artery disease. No new changes.
A,3,1,"Continue aspirin and Toprol... order a stress test... start you on Crestor 20mg, once daily."
S,0,2,"If you have recurrent symptoms, let me know."
