soap_category,main_cluster,subcluster,phrase
S,3,2,I was golfing and I hurt my back when I went for my backswing.
S,3,2,"I felt the pop, and I immediately had to hit the ground."
S,3,0,"By Monday morning, it loosened up a little bit, but it's still pretty sore."
S,3,2,I had a struggle in my foot dropped foot. I had some struggling with my leg.
S,3,1,I had surgery about 10 years ago on my lower back.
A,2,2,"Taking my medications, watching my diet, trying to exercise regularly."
S,3,2,"I love jelly beans... That's been a struggle, but I'm getting through it."
S,3,0,"I monitor it regularly. Not always, I can forget, but I'm pretty good about it."
P,1,2,Decreased range of motion with flexion and extension... Positive straight leg raise... 4 out of 5 on your [right] and 5 out of 5 on your left.
A,2,0,"A 2 out of 6 systolic ejection murmur, which we've heard in the past... That's stable."
O,0,2,Normal x-ray of your lumbar spine.
A,2,1,Your hemoglobin A1c has been a little high at 8.
P,1,0,Prescribe meloxicam 15 milligrams once a day... refer you to physical therapy... order an MRI.
P,1,1,"Increase your metformin to 1,000 milligrams twice daily... repeat hemoglobin A1c in a couple months."
O,0,0,"Continue you on your current medications, your lisinopril and your lasix."
O,0,1,No problem.
O,0,1,No questions.
