soap_category,main_cluster,subcluster,phrase
O,1,2,sudden visual distortions and some blurring of your vision
S,0,2,straight lines and your door frames have been looking crooked to you
S,0,0,trouble adjusting to those dim lights
S,0,1,you're still smoking a pack of cigarettes a day
S,0,1,I take my blood pressure when I can remember to do
P,3,2,posterior chamber intraocular lenses in both eyes
A,2,2,"drusen in the macula, thickening of the retina, presence of subretinal fluid and exudates accumulation. Positive for hemorrhage"
O,1,0,choroidal neovascular membrane can be visualized
A,2,0,fluorescein angiography reveals focal areas of leakage in the eye consistent with neurovascular age related macular degeneration
O,1,0,neovascular age related macular degeneration
O,1,1,advanced to a stage that usually leads to more severe vision loss
A,2,1,abnormal blood vessels start to grow beneath the retina and they will leak fluid and blood and hints the name wet amd
O,1,1,most common cause for severe loss of vision
P,3,0,injection of lucentes once a month
P,3,1,injected into the vitreous portion of the eye after it's been numbed
A,2,0,may slow the rate of vision decline or stop further vision loss but however the disease and loss it may also progress despite treatment
S,0,2,i do not no that sounds great
