phrases,cluster_labels
I hurt my knee when I was skiing two weeks ago.,1
I ran into a tree and twisted my knee.,0
I heard a pop in my left knee.,1
pain lasts for as long as my walk is.,1
swelling and stiff in the morning until I get walking.,1
wear a brace and I have used a lot of THC cream on it.,1
THC gummies from grandma.,0
I had surgery on my knee before when I was fourteen.,1
I ski probably three times a week.,0
start three times a week,3
prescribe meloxicam fifteen milligrams... ibuprofen eight hundred milligrams a day.,2
discontinue the use of your THC gummies while taking these medications.,2
I would recommend not skiing or doing any gymnastics for.,1
