phrases,cluster_labels
Iron deficiency anemia,0
"Feeling fatigued often during the day, and even feverish with chills at times.",1
Can't catch my breath and feel I'm wheezing.,1
"Headaches, which is not me.",2
Chilling sensations. I also get cold easily. I feel I have to really bundle up.,1
Anxiety and depression feel it has been getting worse lately.,1
Anemic since I was 13 years old.,2
Heavy periods until I had a hysterectomy in 1996.,2
Colonoscopy about five to six years ago... no polyps. They said they'd see me in 10 years.,1
"Taking 25 milligram ferrous sulfate tablets, twice daily.",0
"Vitamin B12, just the over-the-counter stuff.",0
Physical exam is normal without any significant findings.,0
Upper endoscopy and colonoscopy to check for internal bleeding.,0
"If those tests come back fine, we'll have you swallow a pill camera (capsule endoscopy).",1
Referral to a hematologist to assess IV iron or storage issues.,3
Continue iron pills with orange juice for better absorption (vitamin C).,0
Recheck blood work after 8-12 weeks.,0
"Schedule upper endoscopy, colonoscopy, and hematologist appointment.",0
Use bowel prep before colonoscopy.,0
"No pacemaker, defibrillator, sleep apnea, or oxygen use.",0
Alcohol consumption: once or twice a year.,0
