phrases,cluster_labels
I've had it for about a week and... tried some over the counter stuff but it doesn't go away.,3
I twisted on my left and maybe I might have picked something up... the pain came back after a few hours.,3
It's more towards the middle maybe on the lower side... aggravated when I do some sudden movement to the left.,3
The pain is located in the center but goes across to the left side.,2
Lungs are clear and your heart has a regular rate and rhythm.,1
"Pain to palpation of the midline of the lower back, especially on the left... mildly positive straight leg rise on the right, positive on the left.",0
History of diabetes... taking metformin twice a day.,0
Blood sugar numbers have been a bit towards the higher side.,2
Family owns the bakery... I end up getting some stuff but it's not that much.,3
Order a low back x-ray... start with physical therapy... take 400 mg ibuprofen up to 3 times a day... Flexeril as a muscle relaxant.,0
A1C test needed... continue diet and exercise... check blood sugar first thing in the morning.,0
Avoid donuts and sweets from the bakery... occasional treats are fine but watch carbohydrates.,0
Referral to a pain doctor if pain continues after x-ray and possible CAT scan.,1
No numbness or tingling in feet during physical exam.,1
