phrases,cluster_labels
"I've been going to therapy once a week for the past year, mostly virtually, but starting to get in-person. Virtual was a bit of a struggle, but I feel being in-person with someone really helps me.",0
"Yes, I do. I have my husband and my kids are down the street from me, I'm very lucky.",0
"I've been using the cuff once a day, and they seem pretty normal.",0
"slight 2/6 systolic ejection murmur, which we've heard in the past, that's stable. Your lungs are nice and clear, and you have some trace lower extremity edema bilaterally.",3
you were talking about some nasal congestion,1
"you're due for a mammogram, we'll go ahead and schedule that.",0
Can I take all my medicine at the same time? Does it matter?,2
"You can set an alarm that it reminds you to take your medication. But, you can, you can take them altogether.",2
"I don't think. It doesn't sound to me I need to start you on any medication at this time, unless you feel differently.",0
"Continue on the lisinopril, 20 milligrams a day. And I want you to continue to watch your blood pressures as, and if they start rising, I want you to contact me.",0
