phrases,cluster_labels
Right knee pain.,0
"Trying to change a light bulb, and I was up on a ladder and I kinda had a little bit of a stumble and kinda twisted my knee as I was trying to catch my fall.",3
"It hurts in, in, in the inside of my knee.",1
It doesn’t seem to help much,1
I’ve been taking ibuprofen,1
Atrial fibrillation.,0
I have had a nose job.,1
Tender over the medial portion of your knee over the medial meniscus area,2
Pain with valgus stressing,0
Normal sensation.,0
No fractures there. I don’t see any… there’s a little bit of fluid… no dislocation.,3
Acute medial meniscus sprain or strain.,2
Use some crutches temporarily for the next couple days,0
Motrin 800 mg every 6 hours with food,0
Follow-up in about a week,0
MRI if not better.,0
