phrases,cluster_labels
I have trouble adjusting in the dark dim environment.,2
when I look at straight lines in your door frame it looks things have been looking a little crooked to me.,2
straight lines they always look wavy to me.,2
history of high blood pressure.,1
smoking about a pack a day.,1
"drusen in the macula, retinal thickening, presence of subretinal fluid and exudate accumulation, and it is positive for a hemorrhage for your left eye.",0
choroidal neovascular membrane can also be visualized in that test.,0
focal area of the leakage in the eye is consistent with neurovascular age-related macular degeneration.,0
"neovascular age-related macular degeneration, also called wet macular degeneration.",1
this happens when those abnormal blood vessels start to grow beneath the retina leaking fluid and blood.,0
injections of lucent... once a month.,1
patients report no pain at all for the actual injection.,3
injections given over time can slow the rate of the vision decline and maybe even stop it.,0
there could be a situation where you may still note a small amount of vision loss.,2
important to take your blood pressure medication as prescribed.,1
cut back or quit smoking altogether.,1
as long as you think it won't hurt a lot that will be good.,2
