phrases,cluster_labels
both my elbows but my elbow is hurting me the most,3
I lift quite a bit of weights... I lift heavy weights,1
probably year and a half ago,2
the more I use my hands or my arms the more it hurts,3
limited range of motion on extension,0
pain with flexion and extension,0
pain on the medial side with palpation,0
pain with supination,0
sensation is normal to the touch,1
pulses equal in all extremities,2
no fractures or any bony misalignment,0
medial epicondylitis,0
take the blood out of say my thigh and inject it into my tendon,3
activates the healing,2
expecting a newborn soon,2
