phrases,cluster_labels
My back has been bothering me for a long time.,1
Thirty years ago when I fell off the roof it was really really bothersome they said maybe there was a fracture or something.,3
It’s been really bad for about a month.,1
It’s an electrical toothache and it goes down the whole leg.,1
It’s less bad I didn’t take my medications because I wanted you to see me as I am but it’s six out of ten but when it gets really bad I’d say it’s thirteen out of ten.,3
Sitting in the waiting area for thirty minutes and that definitely makes the symptoms worse.,1
The only thing that seems to make it better is laying down.,2
Standing walking seems to make it worse coughing sneezing makes it worse.,1
Positive for pain to palpation at the L4 vertebrae.,0
Positive for pain with flexion and extension of your back.,0
4 out of 5 strength in the left and five out of five on the does look that reflexes are brisk and motor and sensory is intact in both lower extremities.,0
The MRI shows a disk herniation at the level of L4 L5 vertebrae and it is associated with some nerve root impingement.,0
Acute disk herniation at L4 L5 with that nerve root impingement that’s causing that pain down your leg and your lower back pain.,0
I’m going to recommend an epidural steroid injection and we’re going to do that today for you if you agree to it.,3
I want you to see PT and I want you to see me again in about a month.,1
I’ve been bedridden,1
I’ve had to use a cane,1
Denied any numbness or tingling,0
I’ve tried NSAIDs in the past without relief,1
done some PT.,2
