phrases,cluster_labels
your sugars are not very controlled,3
increase your glimepiride,0
I'm still taking the two milligrams,1
"take two of the pills, twice a day",0
"we do n't have any pasta in the house. We do n't often have bread, and if we do, we buy wheat bread",1
try to cut down on the number of slices you eat per day,0
I just got new glasses,3
he did that and i had to wait for a month to get healed up and he wrote my prescription,1
Not happy with this lens ; it's kinda funny. The other one is good,3
Are you taking all of those?,3
"A couple of weeks ago, it was 116 on the dot",3
the feet is what we call peripheral neuropathy,1
mildly decreased sensation in the tips of the first and second toes,0
still smoking,0
not ready to quit,0
i've been coughing here lately because i've been congested,1
it's relatively clear,3
it takes me a little more time,3
once in a while,0
"Heart exam : rhythm is regular, normal rate, s1 and s2 are crisp. I do not hear any murmurs today",1
Extremities are without edema. Pulses are palpable on the dorsalis pedis posterial tibial. She has thickened nails,2
Hemoglobin A1C 9.9%,0
"Watch for low sugars, weak, shaky, sweaty",0
The new prescription will be for four milligrams twice a day,0
