phrases,cluster_labels
I've been in a lot of pain it started about three days ago.,3
the pain that you're having is it constant or does it come and go,0
it's constant... I can't get comfortable.,3
I started seeing some blood,0
this might be my third time,2
no fever some chills and I just can't eat and I do feel a little nauseous.,3
I've been taking Tylenol I have had to try some ibuprofen... it's not really working.,3
usually about three four days to pass it,2
your blood pressure was a little bit high... probably because you are in a bunch of pain.,3
you were up there in the one eighties which was really high,0
my french fries,2
we don't want strokes we don't want a scope and all the french fries,2
your A1c was a little bit higher at seven point three,0
those have been pretty good they are in the low one hundreds,2
grade two out of six systolic ejection murmur... not really worried about that currently.,1
tenderness to palpation of the abdomen... CVA tenderness on your flank.,1
prescribe you some oxycodone five milligrams... continue to take that Tylenol for breakthrough pain.,1
push fluids... urine strainer... refer you to urology.,1
keep you on that two point five Norvasc... home blood pressure monitoring 3 times per week.,1
refer you to nutrition to a dietitian... write a diet for you.,1
continue metformin 500 mg daily... home glucose monitoring before meals.,1
that sounds good and I just want this pain to go away thank you,0
