phrases,cluster_labels
i have a little bit of some shortness of breath that i noticed over the weekend,1
i would take them for mile long walks everyday... i could only walk down to the end of the street,1
i've been having a dry cough no phlegm,1
every time i swallow it hurts... in my chest,1
some crackles in your lungs bilaterally... could mean you have some fluid in there,1
some erythema on the anterior aspect of your chest... due to that radiation burn,2
chest x-ray... shows evidence of mild radiation umitis [pneumonitis],2
continue you on that chemo regimen... cisplatin and a topicide [etoposide],0
prescribe you a low dose steroid prednisone forty milligrams... for five days,0
prescribe you a lidocaine squishy and swallow... four times a day,0
radiation pneumonitis... creeping up to your esophagus causing the pain,2
vitals are normal your pulse ox is everything's good,1
no fever... no body aches... no sinus pain,0
zofran helped with nausea and fatigue,0
the tumor has just gotten little smaller and we can go inside and and take it out,3
follow-up in two weeks,0
