phrases,cluster_labels
i just woke up one day it was hurting,2
from my elbow all the way up to the neck,0
achiness achiness heaviness,1
no nothing nothing really unusual mowed grass and that's about it,2
some motrin,1
not really still kinda comes and goes and aches,0
chest pain comes with the elbow pain arm pain,0
it kinda goes up my neck sometimes too,0
slight murmur with your heart here and i don't think we've heard that before,2
concerned you might be having a mild heart attack,3
aspirin and nitroglycerin,3
i do n't check them,0
blood pressure is a little bit high it was one fifty over ninety,2
one twenty five over seventy two,1
denies any shortness of breath,3
