phrases,cluster_labels
Right shoulder injury.,1
I kinda landed on my shoulder a little bit weird one time.,0
about four days ago.,0
it's kinda on the back side around here.,0
they are about the same,0
I can't lift my shoulder to touch my ear because of pain.,0
just a little bit of Tylenol trying to take it easy.,0
Tylenol does not provide relief.,0
no numbness or tingling in my fingers.,3
the rest of it's doing it's just the shoulder.,0
I'm right-handed.,0
had an appendectomy maybe three-four years ago.,0
pain to palpation of the posterior shoulder at the acromioclavicular joint.,3
decreased abduction and adduction to about ninety degrees only.,3
pain with supination and pronation of the arm.,3
palpable radial artery pulse.,1
acute acromioclavicular joint fracture.,1
put you in a sling.,0
prescribe meloxicam 15 mg once a day.,1
order a CT scan of your shoulder.,1
refer you to physical therapy.,1
avoid tackle football,2
flag football in the future.,2
when can I get back out on the field?,0
a slight headache,2
our bones get a little bit weaker as we get older.,0
