phrases,cluster_labels
he started to get a runny nose.,1
"he also has a cough, but it's not barky.",3
"he's been pulling on his ears,",1
he's also been going crazy rubbing at his nose too.,3
rectal temperature and it was 100.3.,0
he's irritable.,1
"he can't go to sleep, he's fighting it really hard.",3
his older sister's been sick.,1
"we had a play date with my nephew, who I learned later had a sinus infection.",3
saline mist in his nose.,1
I gave him Tylenol really early this morning.,3
baby Vicks on his feet last night,1
used the humidifier.,0
ears look...,1
"he's just getting started with this, and we're seeing something viral.",3
sinus infections will start out as a virus and will become bacterial infections if left alone.,2
"keep up with the fluids, rest, and I would watch him very carefully for a barking cough.",3
"if he develops a barky cough, I want you to give him a half a teaspoon of his sister's medicine.",3
Zarbee's for the stuffy nose,1
"no honey for him... instead, you can give them agave.",3
"recommended Head & Shoulders, or Selsun Blue, or Nizoral AD... 2 times per week.",0
avoid getting the shampoo in the patient's eyes.,0
his cradle cap has gotten a little worse.,3
"using the cradle cap brush, and I use regular Aveeno shampoo.",0
return in one week for a re-check.,0
