phrases,cluster_labels
stepping off a curb,2
turned over my ankle.,1
the outside of my knee.,1
"it clicks when I walk,",2
"feels locked and I have to ease into walking again,",1
pain when I rest it on my heel.,1
"no unless I stand on one foot for an extended period of time,",0
full squat... the most clicking.,2
ibuprofen... at night helps me settle down and sleep better.,1
I ride the bike... peloton.,1
broken my foot my second toe... numbness depending upon the shoe.,1
"slight edema... slight effusion,",0
"no pain to palpation,",0
"positive varus test,",0
negative Lachman sign.,0
no acute fracture or bony abnormality.,3
lateral collateral ligament strain.,3
"refer to physical therapy,",0
"prescribe meloxicam 15 mg,",0
consider an MRI if pain does not improve.,3
