phrases,cluster_labels
sharp pain on the side of my abdomen below my ribs for the last several days.,3
the pain moves to my lower abdomen into my groin,3
comes and goes... pretty bad... can't find a comfortable position.,0
it kinda burns a little bit [when urinating],0
urine looks a little dark sometimes.,0
I've had kidney stones before... but this is taking a lot longer.,0
my father had [kidney stones].,0
taken some Tylenol but it hasn't really helped.,0
positive CVA tenderness on the flank... tenderness over your kidney... inflammation there.,2
0.5 cm kidney stone located in the proximal ureter... no evidence of hydronephrosis.,2
acute nephrolithiasis or kidney stone.,1
push fluids... prescribed oxycodone 5 mg every 6 to 8 hours... alternate with Tylenol.,2
"basic metabolic panel, urinalysis, and urine culture.",1
follow up in 1 to 2 weeks... discuss further treatment such as lithotripsy or ureteroscopy.,2
contact me if you're having worsening symptoms over the next week.,0
