phrases,cluster_labels
Shortness of breath with hemoptysis.,0
"History of diabetes, high blood pressure, and asthma.",0
I wake up with shortness of breath... I get back home and I'm again short of breath... I've been coughing up blood.,1
About a couple of weeks,3
three weeks or,3
Three to four cups a day.,3
Oxygen level... ninety four percent on pulse oxygenation.,0
Blood pressure has been running somewhat on the low side... lower nineties.,1
Blood sugar has been high and low... spiking over two hundred after meals... around one fifty in the morning.,1
Some rales and rhonchi on the right... diminished breath sounds... 2/6 systolic ejection murmur... 1+ nonpitting edema on both lower extremities... no calf tenderness.,2
Chest x-ray... CAT scan of the chest... blood work... refer to the emergency department.,0
Increase metformin to 750 mg twice daily... order another hemoglobin A1c.,0
Hold off on Norvasc until we address the shortness of breath.,0
No questions... I can bike no problem... I'm good.,1
Come back in about three weeks to discuss diabetes treatment.,0
