phrases,cluster_labels
Left shoulder pain that I've been having for a few weeks,1
I’ve been doing a lot with renovating my basement,0
No trauma that I can think of at all,1
Pain is isolated to my left shoulder,1
Can’t even raise my arm over my head because that’s it—it really hurts,0
The pain is always there… when I sleep directly on it the pain goes up,0
Without any Tylenol my pain is a seven… with Tylenol it goes down to a two or three,0
Limited active and passive range of motion… tenderness of the greater tuberosity of the humerus,2
No tenderness at the sternoclavicular or clavicular joints,2
X-ray of that left shoulder… no fracture or bony abnormality,1
Assessment: rotator cuff tendinopathy,2
Order an MRI of your shoulder… refer you for physical therapy for approximately six to eight weeks,1
"Continue to take Tylenol p.r.n. If symptoms don’t improve, consider a steroid injection",3
I’m really active—do you think that this pain will ever go away?,0
I do believe that pain is gonna go away… many of my patients are successful with PT,0
