phrases,cluster_labels
Every time I start walking I'm just having this pressure and chest pain in my chest.,1
Probably maybe three months.,1
It mainly happens when I'm walking.,1
It's a dull it's kinda a pressure.,1
I don't see any signs of a heart attack or anything.,1
My first diagnosis [...] is unstable angina [...] considering your history of diabetes and the suspected history of high blood pressure and your family history of heart disease.,2
Start you on [...] aspirin daily [...] nitroglycerin [...] take the pill if the chest pain does not go away after stopping activity.,2
Refer you to cardiology [...] stress test to look at your heart.,0
Continue the metformin [...] hemoglobin A1c today [...] follow up in two weeks.,0
Blood pressure's been running a little bit high [...] start you on hydrochlorothiazide.,2
Use a blood pressure cuff at home [...] log your readings via MyChart.,0
1+ nonpitting edema in the ankles.,3
"Take up to three pills every five minutes [...] if it doesn’t go away, go to the hospital.",1
Continue to stay away from pop and sweet things.,1
Keep your appointment with ophthalmology for diabetic retinopathy.,0
Family history of heart disease.,0
