phrases,cluster_labels
He is here today for ongoing management of rheumatoid arthritis.,1
"it did, maybe for a couple of weeks.",1
"it's about a 3 or, but, typically on a normal day it's around 6.",1
"since i was last here a couple weeks after that. About, maybe two months.",1
"i'm taking it everyday, and i'm also taking celebrex which i started maybe 2 months ago.",3
range of motion slightly diminished,2
i see some pitting around the knee and ankle.,1
We can give you another steroid injection for that. I also want to get an x-ray of that knee.,3
Let's do it. Sounds go to me.,1
"when it really hurts, is when i've been sitting for a while, and i have to try and get up. I'm stiff getting up i have to use a cane to get my bearings.",3
salt does have a tendency to make your body hold on to water... reducing your salt intake could help with some of the swelling.,1
"The knee was accessed through the lateral approach with 3 milliliters of initially clear fluid, bloo- blood tinged fluid... injected with 80 milligrams of triamcinolone, and one milliliter of lidocaine.",0
"The risks, benefits, and alternatives were explained... Verbal consent was attained.",0
we need to check your cmp levels every couple of months.,1
"We'll set that up for you... if nothing is helping, we really might need to get a surgery consult.",3
"the whole thing was n't swollen this, but i tried to wear compression socks a lot of the time, but it has n't been helping.",3
