phrases,cluster_labels
my arm hurts here. Toward my wrist. This part of my arm.,0
"I was playing tennis... hit the top of the net but the pole part. And, and it just jarred my arm.",1
It did. It got a little bit of swelling. Not a lot.,1
a little bit when I move my wrist,0
no numbness in my hand.,0
I have allergies. And I take flonase.,0
I had a trauma of a stabbing of... I fell doing lawn work on my rake.,1
tenderness over your distal radius,3
"pain when I stress especially your thumb, and, and flex your thumb.",0
don’t see any fractures... don’t really see any abnormalities at all. It looks essentially normal.,1
you have pain following hitting your arm on the net... what you have is just a strain and maybe a contusion to that muscle.,1
ice... for the pain and swelling,2
"anti-inflammatory... Motrin, 800 milligrams three times a day, with food.",0
"if it doesn’t get any better in the next week or let me know, and we’ll take a look at you again.",1
