phrases,cluster_labels
history of depression,0
It's been a pretty stressful winter and spring... we've been onboarding a couple new employees and we have been pretty short-staffed in the meantime.,1
the diet is off the charts... out the window.,2
I usually wake up at about 5:00 in the morning... a little early.,1
"no feelings of want to hurt yourself or anybody? No, no.",1
high blood pressure has been under relatively good control recently.,3
lungs are clear... heart is regular... grade two systolic ejection murmur... no edema... a little bit of weight.,1
lisinopril 5 milligrams a day,0
zoloft 50 milligrams a day.,0
see you back in about a month... three months.,1
