phrases,cluster_labels
I’ve been considering a breast reduction for six or seven years.,0
"I do have a lot of pain in my back and neck, but I don’t know if it’s all from my breasts.",0
I mostly wear a 34 E sports bra because it’s more comfortable.,0
I experience numbness and tingling in my hands sometimes.,2
They [breasts] are always sweaty underneath.,1
My activities are limited because of the size—working out and running hurt.,2
"My mother had breast cancer at age 40, so they recommended mammograms starting at 30.",0
I take propranolol for migraines.,2
I lost 10 pounds recently and want to lose 20 more.,2
"I’ll be on my husband’s insurance plan in July, which is not Blue Cross.",0
We may wait until July to submit for insurance approval.,3
"The surgery involves incisions around the nipple, straight down, and underneath, forming an anchor shape.",1
You’ll have drains for about a week post-surgery.,0
There’s a 30% chance breastfeeding may not be possible after the procedure.,3
Scars may take a year to mature and fade.,3
"A free nipple graft may be needed, which could affect sensation.",1
You’ll need to avoid heavy lifting for six weeks and driving for two to three weeks.,0
An overnight hospital stay is required to manage pain and nausea.,1
I want to be a B or C cup.,2
I’m ready as soon as my insurance is switched over.,0
You’re a great candidate for a breast reduction.,0
We’ll submit photos and documentation to your insurance once you’re on the new plan.,0
"The minimum tissue resection based on your body surface area is 1,792 grams.",3
Your breasts are asymmetrical with severe ptosis bilaterally.,1
"No masses, tenderness, or lymphadenopathy were found during the exam.",1
