phrases,cluster_labels
Right ankle injury.,3
I was doing something I didn't really want to be doing and I fell and my ankle hurts.,1
My ankle twisted outward,1
the pain is on my outer ankle.,1
I have some numbing going on in other places,1
you're limping.,1
I've taken Tylenol,1
it didn't help.,1
I heard an a crack crackle,1
Three years,2
"Temperature is ninety eight. Six,",0
"blood pressure is fine at one eighteen over seventy seven,",0
heart rate looks good at seventy seven.,0
"Edema and erythema on the lateral malleolus,",2
"associated ecchymosis and a few excoriations,",2
pain to palpation of the lateral malleolus.,3
Ankle x-ray shows that you have no acute fracture or bony abnormality.,0
Acute ankle sprain.,3
"Put you in an air cast,",2
"prescribe some meloxicam fifteen milligrams once a day,",2
"ice the area for about twenty minutes five times a day,",2
weight-bear as tolerated.,3
Anticipating you to start feeling better in the next couple of weeks,1
consider physical therapy or pursuing further imaging.,3
