phrases,cluster_labels
Right shoulder pain.,1
"The onset of his pain began a few weeks ago, when he was performing different projects in his backyard.",0
it's more on the outside and it's kinda tender on the outside when I raise my arm up.,0
whenever I move it I can definitely feel some pain,0
bothering me at night also [because] I sleep on that side.,0
I hurt that same shoulder because it's my dominant hand... playing baseball when I was younger.,0
no numbness in my arm or hands.,2
taking some Advil and icing as much as I can... dulls it a little bit.,0
limited active and passive range of motion,3
tenderness at the greater tuberosity of the humerus.,2
good hand grip,1
sensation to touch is intact.,2
shoulder x-ray... no fracture.,2
rotator cuff tendinopathy,3
bilateral foot pain.,1
"order an MRI... refer you to physical therapy for six to eight weeks,",3
"continue Tylenol,",1
consider a steroid injection if symptoms don’t improve.,1
my both my feet are really sore... stiff and stuff... soreness... ice on them keep them elevated.,0
soak your feet in Epsom salts to relax the muscles and reduce soreness.,2
