phrases,cluster_labels
difficulty urinating over the last six months,0
"stream is weak,",3
"not emptying bladder fully,",0
"sometimes if I stand there long enough I can kinda go a little bit more,",2
getting up three or four times a night to go to the bathroom.,1
"no burning when I urinate,",2
"no problems with my bowels,",2
"no urinary retention,",0
no chest pain or shortness of breath.,1
"enlarged prostate appreciated on physical exam,",0
"slight 3 out of 6 systolic ejection murmur heard at the left base,",0
"lungs clear bilaterally,",3
abdomen nontender and nondistended.,1
"history of coronary artery disease with stent placement in 2018,",0
diabetes managed with metformin.,1
"start on Flomax 0.4 mg once at night,",0
"refer to a urologist,",0
"order PSA, urinalysis, and urine culture,",0
"continue Lipitor 40 mg, aspirin, and metoprolol,",0
"order echocardiogram to follow up on murmur,",0
"continue metformin 1000 mg twice daily,",0
order hemoglobin A1c.,1
"follow up in 3 to 4 weeks,",0
call or message if concerns arise.,1
patient understands and agrees with the recommended medical treatment plan.,1
"patient denies recent constipation,",3
"no history of catheter insertion for retention,",0
social history includes exercise attempts and college football interest.,1
