phrases,cluster_labels
one of the antibodies your body makes to fight infections.,1
I get a lot of colds and they do seem to linger for a long time.,1
no abdominal infections... no diarrhea.,1
started on metformin,2
no one in my family has immune deficiencies.,1
"no fever, normal vitals,",0
"regular heart rhythm with no murmurs,",0
"clear lungs,",2
soft abdomen without tenderness.,0
lab results are consistent with an IgA deficiency.,1
other antibodies,2
infections that don’t stop,3
severe diarrhea.,0
"if you ever need blood products, they need to know about your IgA deficiency to avoid a strong reaction.",1
