phrases,cluster_labels
"I have high blood sugar, osteoarthritis, atrial fibrillation, and reflux.",0
I've been eating a ton of sweets recently... there is always something sweet available.,1
"I just felt really light-headed and I could see spots, really dizzy.",3
They gave me some fluids and told me to cut out sweets and get back into my normal routine.,3
I'm still staying with my family... my mom and grandmother are big bakers.,1
Your thyroid is a little enlarged but non-tender... heart is in irregular rate and rhythm.,1
Both your blood sugar and hemoglobin A1c are elevated.,0
You do have this diagnosis of diabetes... we're not sure if it's type I or type II.,1
Start you on metformin 500 mg twice a day... glucometer to monitor.,2
Continue metoprolol 25 mg twice daily... protonix 40 mg once daily.,2
I've been taking the medication that you prescribed to me and that's been helping a lot.,3
"Only when I'm really anxious. I feel it, pumping a little bit.",3
"I do have osteoarthritis though, that... nothing out of the norm for me.",1
"No, not at this time",0
