phrases,cluster_labels
Your hemoglobin is low.,0
"Over the past couple of months, I've been really tired and dizzy.",3
"I've been getting tired even just walking a mile or going to work, doing things that I've done in the past every day.",3
"I had a colonoscopy three years ago for blood in my stools, but nothing since.",3
I’ve been traveling a lot... I stopped at McDonald’s and got two cheeseburgers. I could be doing better. I’ve noticed some swelling in my legs.,1
"No, I haven’t [seen blood in stools]. I did about three years ago, and I did a colonoscopy for that, but nothing since.",1
No issues since [the colonoscopy showed mild diverticulosis].,0
No weight loss or passing out... just a bit dizzy.,0
"I get seasonal allergies, so some nasal congestion.",0
I hear a three out of six systolic ejection murmur.,0
Trace to one plus pitting edema in your ankles.,0
We’ll send off some more labs and anemia profile... refer you back to gastroenterology for another evaluation.,2
Start you on some Lasix 40 mg once a day... continue your Toprol 50 mg daily and lisinopril 10 mg daily.,0
Watch your salt intake... weigh yourself every day. Call me if your weight starts to go up.,0
Continue to watch your diet and stay hydrated... despite the diuretic.,0
Not that I can think of.,0
