phrases,cluster_labels
I've been using the medication you prescribed me last time and going to therapy every week. And that's really helped me manage.,3
It's been a little bit up and down... hasn't really stayed put.,3
my diet's been a little all over the place. I have been really stressed with work and putting in more hours... eating a lot of frozen meals.,3
I have some headaches but i just thought that was looking at a computer screen all day.,3
my carpal tunnel release has been doing... great. No numbness or tingling in your hands?,0
your exam's essentially normal... your labs are essentially normal.,0
increase your lisinopril to 10 milligrams a day... come back in a month.,0
depression... doing great... continue current regimen.,1
denies any thoughts of self-harm or harming others.,1
your blood pressure is a little bit high.,0
"Neurologically intact... strength is good, pulses are good.",1
Patient Agreements: The patient understands and agrees with the recommended medical treatment plan.,2
