phrases,cluster_labels
"I hurt my,, finger when I was skiing this past weekend.",0
"I was going downhill, double diamonds, double black diamonds, and I just lost control, and I flipped down a few ways, but somewhere along the way, I, I jammed my, my index finger on something.",0
About five days of this index finger pain.,1
"I took some ibuprofen., didn't really seem to help.",0
Have you iced it or put a splint on it?,1
it's about a seven.,1
"no, interestingly enough, this is the only one.",3
I have chronic constipation.,1
"yes, I had my appendix out when I was seven.",0
"With your x-ray, and with your exam, looks you have a sprain of your distar- distal interphalangeal joint. It's called your dip joint, of your index finger.",2
we're gon na put a splint on that finger. I'm gon na give you a strong antiinflammatory called mobic. You'll take 15 milligrams once a day. I'll prescribe 14 of those for you. And I want you to come back and see me in two weeks...,0
