soap_category,main_cluster,subcluster,phrase
S,1,0,"my blood pressure was really high in the emergency room,"
S,3,2,decreased ejection fraction
S,2,1,slightly leaky heart valve
S,0,0,"I ended up going for a walk yesterday 'cause it was sunny and it was really great. And I just felt really light-headed, and I started to fall a bit, and luckily I was with my boyfriend and he caught me, and we went to the ER."
S,1,1,"The blood pressure was pretty high in the ER, almost 200."
S,1,0,"My blood pressures have been running high in the past... once a week, a month, it just skyrockets."
S,0,0,"It usually ends up being I'm traveling a lot that week for work, I'm not eating as..."
S,0,0,"You're not taking your blood pressures, I take it?"
S,0,0,"No, I don't bring my cuff with me [while traveling]."
S,0,0,I am taking the lisinopril.
S,0,0,Last year I started therapy and I've been going once a week and that's really helped.
S,0,0,"My boyfriend, my mom, and my brother are amazing and they're all super close to me, it's been good."
S,2,1,Your heart on your heart exam does show that you have a slight 2 out of 6 systolic ejection murmur.
S,2,1,You do have some trace pitting edema to your lower extremities bilaterally.
S,0,0,"I have a little bit of nasal congestion, but that's just from my seasonal allergies."
S,2,1,The ECG looks the same as last year... you do have those changes from your chronic high blood pressure.
S,2,1,"The echocardiogram... shows you have that slightly leaky heart valve, nothing to do for it, and that the heart murmur is stable."
S,0,0,I want to increase the lisinopril to 40 milligrams once a day.
S,0,0,Continue to check your blood pressures and report them to me through the patient portal.
S,0,0,"For your depression, I don't think we need to start you on any medication... you can contact me if you need anything."
S,0,0,"No, not at this time [to questions]."
S,0,0,It's good to see you.
