phrases,cluster_labels
follow-up to an abnormal lab finding,3
Your hemoglobin was low,2
I know the nurse told you about Dax. I'd like to tell Dax a little bit about you when we get started.,1
Your hemoglobin was low.,2
"I've been feeling really tired lately. Over the past couple of months, I've noticed that my energy has really gone down.",1
I used to be really active... I've just been tired and exhausted and I haven't been able to really keep up with the way I was going with my exercise.,1
"I've noticed a little bit [weight loss], but that's because I've been doing really well with my exercise.",1
I haven't been smoking. I quit cold turkey and I haven't gone back since.,1
"During the changes of season, it gets a little bit harder for me to breathe, but that's just because of my allergies.",1
"I've been doing really well with [diet]... staying away from the French fries, and all the other salty foods that I love to eat.",1
No swelling in your legs or anything?,0
"No, not that I've noticed.",0
No blood in your stools at all?,0
"No, not really.",0
Are your stools dark or charry or black looking?,0
"No, not that I've noticed.",0
Are you spotting a lot with your periods?,0
"No, I'm not.",0
Any weight loss?,0
I've noticed a little bit...,1
"I hear a slight two out of six systolic heart, systolic ejection murmur on your heart exam.",2
Your abdomen... had some tenderness to palpation in your lower quadrant on your abdominal exam.,2
No lower extremity edema.,3
"Your hemoglobin level is 8.2. Somebody you should have a hemoglobin of about 13, 14.",2
We need to investigate why it's low... some of your anemia labs are still pending at this time that's part of the workup.,1
I'm going to order an endoscopy and a colonoscopy just to make sure that you're not bleeding from inside your belly.,1
Continue staying away from smoking. It doesn't sound like you need any inhalers at this time.,1
"Continue you on the Toprol, continue you on the lisinopril and we'll continue you on your current diuretic dosing of 20, lasix 20 milligrams a day.",3
I'll be in touch when those labs come back to see what further workup we need to do.,1
I'm going to go ahead and order that referral to gastroenterology.,1
You feel you have a good support system?,0
My boyfriend is great and I have my brother down the road.,1
"I'll be in touch over the next week or so, and we'll get this all sorted out.",1
