soap_category,main_cluster,subcluster,phrase
S,0,7,shortness of breath
S,1,1,"took a very long bike ride, about three hours or and i got back, i was very light headed, i was short of breath"
S,1,2,it was hard to catch my breath afterwards
S,1,1,maybe i did have a little chest pain but it eventually went away after about an hour
S,0,12,"no chest pain,"
S,0,12,"no nausea or vomiting or abdominal pain,"
S,0,11,no one else sick in your family
S,2,3,"migraines under control with Imitrex,"
S,2,4,"reflux managed with Protonix,"
S,0,13,cataract surgery about four and a half months ago
S,0,8,"slight wheeze, expiratory wheeze, bilaterally"
S,0,14,trace lower extremity edema in your lower extremities
S,0,9,"normal chest x-ray,"
S,0,9,"normal pulmonary function tests,"
S,3,15,all labs look quite good
S,0,5,may have had an asthma exacerbation from exercising and with the allergies
S,0,6,"prescribe albuterol inhaler, two puffs every four hours as needed for wheezing or for shortness of breath"
S,0,10,order a pulmonary referral
S,0,11,see you in a couple weeks
S,1,2,"if you have this shortness of breath again, i want you to call me away"
