soap_category,main_cluster,subcluster,phrase
S,1,4,I know the nurse told you about Dax. I'd like to tell Dax a little bit about you when we get started.
S,2,7,Your hemoglobin was low.
S,1,1,"I've been feeling really tired lately. Over the past couple of months, I've noticed that my energy has really gone down."
S,1,1,I used to be really active... I've just been tired and exhausted and I haven't been able to really keep up with the way I was going with my exercise.
S,1,1,"I've noticed a little bit [weight loss], but that's because I've been doing really well with my exercise."
S,1,2,I haven't been smoking. I quit cold turkey and I haven't gone back since.
S,1,1,"During the changes of season, it gets a little bit harder for me to breathe, but that's just because of my allergies."
S,1,1,"I've been doing really well with [diet]... staying away from the French fries, and all the other salty foods that I love to eat."
S,0,13,No swelling in your legs or anything?
S,2,6,"No, not that I've noticed."
S,0,13,No blood in your stools at all?
S,2,8,"No, not really."
S,0,13,Are your stools dark or charry or black looking?
S,2,6,"No, not that I've noticed."
S,0,13,Are you spotting a lot with your periods?
S,2,6,"No, I'm not."
S,0,14,Any weight loss?
S,2,6,I've noticed a little bit...
S,0,15,"I hear a slight two out of six systolic heart, systolic ejection murmur on your heart exam."
S,0,16,Your abdomen... had some tenderness to palpation in your lower quadrant on your abdominal exam.
S,0,18,No lower extremity edema.
S,0,17,"Your hemoglobin level is 8.2. Somebody you should have a hemoglobin of about 13, 14."
S,3,10,We need to investigate why it's low... some of your anemia labs are still pending at this time that's part of the workup.
S,1,4,I'm going to order an endoscopy and a colonoscopy just to make sure that you're not bleeding from inside your belly.
S,1,3,Continue staying away from smoking. It doesn't sound like you need any inhalers at this time.
S,3,12,"Continue you on the Toprol, continue you on the lisinopril and we'll continue you on your current diuretic dosing of 20, lasix 20 milligrams a day."
S,3,11,I'll be in touch when those labs come back to see what further workup we need to do.
S,1,5,I'm going to go ahead and order that referral to gastroenterology.
S,2,9,You feel you have a good support system?
S,1,2,My boyfriend is great and I have my brother down the road.
S,1,4,"I'll be in touch over the next week or so, and we'll get this all sorted out."
